agentType,gamemode,score,deepestRoom,finalHP,performance,seed
random,e,-110,6,-3,35,8066598299870681167
random,e,-184,1,-9,8,4920639337426155033
random,e,-188,1,-6,7,869260137230816937
random,e,-128,6,-3,28,4936993425589994895
random,e,-175,2,0,11,3838941222436181802
random,e,-181,2,-7,9,8945714453160397048
random,e,-180,2,0,10,1803003604158746034
random,e,-188,1,-1,7,5408890992741318971
random,e,-180,1,-7,10,8538537974123148401
random,e,-95,11,-5,40,14495353364582571
random,e,-157,5,-4,18,4603660239725170986
random,e,-188,2,-1,7,7972255788969082016
random,e,-156,4,-3,18,6061578830914283478
random,e,-184,2,-4,8,193879300741704298
random,e,-174,2,-11,12,6976751549743988540
random,e,-121,5,-6,31,8489714638889007786
random,e,-188,1,-2,7,7798216886868279884
random,e,-117,8,0,32,8686981456950707956
random,e,-130,5,-7,28,1448011064679945116
random,e,-167,2,-5,14,2216938038290033898
random,e,-183,1,-8,8,5406226638198406799
random,e,-176,3,-1,11,6888348768822050961
random,e,-174,3,-3,12,6331156140781530650
random,e,-185,3,-1,8,6357443958787470418
random,e,-178,1,-4,10,7129503623794702676
random,e,-125,7,-3,29,1673621573510362716
random,e,-153,6,-2,19,9141658764371192071
random,e,-173,5,-8,12,378232628610905994
random,e,-142,6,-6,23,4657192313410526241
random,e,-177,2,0,11,2930239646420167531
random,e,-188,1,-5,7,6573721260342560856
random,e,-183,2,-8,8,6436793587382873624
random,e,-151,4,-5,20,6101311847853218278
random,e,-89,9,0,42,5987506575024641055
random,e,-157,5,-1,18,2262351154973685551
random,e,-188,1,-1,7,8299499322507247375
random,e,-168,5,-7,14,5896251235174873892
random,e,-174,2,-2,12,8201710548999334271
random,e,-159,5,-3,17,863703023324957509
random,e,-180,2,0,10,9198423682736948611
random,e,-116,8,-3,33,9044233475494165005
random,e,-167,3,-3,14,974213201438677124
random,e,-179,1,-5,10,7473944172000486235
random,e,-179,1,-5,10,442903147623546909
random,e,-174,2,0,12,5817514213004005109
random,e,-188,1,-5,7,7161687712870455721
random,e,-140,6,-7,24,5202539497574980514
random,e,-178,2,-7,10,8298323230533864664
random,e,-110,10,0,35,6539099031496807225
random,e,-96,13,-7,40,2618514198351336918
