agentType,gamemode,score,deepestRoom,finalHP,performance,seed
greedy,e,-138,7,-3,25,5562091405241436154
greedy,e,-35,16,-3,62,7375495633289571969
greedy,e,-132,9,0,27,8446268645574475119
greedy,e,-100,12,-6,38,944036000545527865
greedy,e,-145,5,-1,22,7100856709323026214
greedy,e,-56,14,-1,54,3147172389330243588
greedy,e,-105,11,-2,37,2291915484389632730
greedy,e,-89,11,-11,42,3231548027374813894
greedy,e,-111,11,-2,34,1324318864231488999
greedy,e,-163,4,-3,16,7992642293057372155
greedy,e,-86,13,-2,43,5375718037897804575
greedy,e,-56,14,-3,54,9084715905170624307
greedy,e,-78,13,-5,46,4383121343621536043
greedy,e,-78,11,-7,46,2721468317964495549
greedy,e,-125,9,-5,29,2011327334457036579
greedy,e,-163,3,-7,16,6532096806494614694
greedy,e,-90,12,-9,42,1272335897699787276
greedy,e,-105,11,-1,37,7048246791808333145
greedy,e,-182,2,-9,9,6283102584259752383
greedy,e,-157,6,-6,18,3570574667640737256
greedy,e,-140,6,-1,24,4729245157456701873
greedy,e,-176,2,-5,11,4050645434318977817
greedy,e,-76,14,-11,47,3634961607487501948
greedy,e,-188,1,-10,7,2424971610772970206
greedy,e,-63,11,0,52,2852360920946101986
greedy,e,-137,9,-7,25,2015138514015384866
greedy,e,-54,14,-8,55,5970439472923823016
greedy,e,-79,13,-7,46,4110471674655317376
greedy,e,-145,5,-2,22,3872300383895065750
greedy,e,-131,7,-7,27,7834587007158602651
greedy,e,12,17,9,79,6720712789766630931
greedy,e,-134,8,-2,26,110472034213533474
greedy,e,-88,8,0,43,8700045336004786867
greedy,e,-156,4,-8,18,2482071939512014288
greedy,e,-71,15,-2,49,3651793001575261651
greedy,e,-112,9,-3,34,782323852176234436
greedy,e,-157,4,-5,18,6003036758223705626
greedy,e,-70,14,-5,49,2919547844513904181
greedy,e,-152,6,-5,20,1925388551978725363
greedy,e,-172,3,-1,12,3124693602127251233
greedy,e,-152,6,0,20,5873809187665151824
greedy,e,-107,11,-7,36,3975101678953244201
greedy,e,-114,10,-2,33,8359544392975719197
greedy,e,-86,13,-1,43,6551412914649925776
greedy,e,-59,13,-2,53,2288472678614382859
greedy,e,-147,5,-5,21,310970143570777622
greedy,e,-178,1,-1,10,7845249804182442466
greedy,e,-148,7,-5,21,8522680150405503712
greedy,e,-75,13,-4,47,2691792632340676365
greedy,e,-118,10,-1,32,5014578682851704840
greedy,e,-150,4,-4,20,5858381825697249893
greedy,e,-104,13,-2,37,486324396363998189
greedy,e,-109,12,-2,35,1419862631229095166
greedy,e,-113,8,-4,34,2599136523196940453
greedy,e,-103,11,-7,37,305399629480858370
greedy,e,-95,13,-7,40,7399693466246453622
greedy,e,-137,7,-8,25,7042298420726122302
greedy,e,-143,7,0,23,917779887932784376
greedy,e,-59,14,-3,53,2974506183928368820
greedy,e,-34,16,-3,62,4332159667331937482
greedy,e,-82,12,-4,45,926154669885010052
greedy,e,-79,14,-10,46,8998739785173402699
greedy,e,-18,17,-4,68,7662979457772675670
greedy,e,11,18,11,78,8410894356023157794
greedy,e,-163,4,0,16,4463502814440474718
greedy,e,-183,1,-3,8,7622567292719668420
greedy,e,-188,1,-11,7,6606026453863701686
greedy,e,-35,16,-10,62,2141493635668225135
greedy,e,-136,7,-6,25,4764740464162979511
greedy,e,-76,13,-3,47,6504027530900861726
greedy,e,-145,6,-4,22,1530642198459383628
greedy,e,-88,12,-5,43,1065257891578218341
greedy,e,-77,14,-1,47,1384964654649635056
greedy,e,-129,8,-8,28,186413167867629418
greedy,e,-49,15,-1,57,8738714247581999550
greedy,e,-85,13,-2,44,6235285675750415466
greedy,e,-83,13,-12,44,4702015842747996683
greedy,e,-25,15,-2,65,7051233189350523036
greedy,e,-130,11,-4,28,7012903748689451044
greedy,e,-161,4,-13,16,6967276148388214913
greedy,e,-146,7,-4,22,2410143966073153128
greedy,e,-105,11,-6,37,5193552884109966431
greedy,e,-136,7,-6,25,5870136180730444978
greedy,e,-133,8,-4,26,2882601275641867723
greedy,e,-93,10,-4,41,6326871266809077741
greedy,e,-170,3,0,13,736751432269574555
greedy,e,-80,12,-5,46,8816259346744096962
greedy,e,-47,15,-2,57,585151548308979676
greedy,e,-130,9,0,28,79133687604621961
greedy,e,-79,12,-4,46,2075770369055644769
greedy,e,-115,10,-8,33,3230831572804434211
greedy,e,-178,2,-8,10,7810273004661414355
greedy,e,-170,4,-8,13,4069763540018926247
greedy,e,-167,2,-2,14,2426066508923868006
greedy,e,-188,2,-3,7,4903361636334661635
greedy,e,-125,10,-7,29,748881068295774767
greedy,e,-185,1,-2,8,143697174683689616
greedy,e,-67,13,-6,50,6736689551618704307
greedy,e,-139,6,0,24,785801576754773592
greedy,e,-152,7,-8,20,8375766042678468246
greedy,e,-164,3,0,15,7966912337126544152
greedy,e,-154,8,0,19,753779687864552212
greedy,e,-162,6,-3,16,41876281484381498
greedy,e,1,17,-1,75,7344444586502518222
greedy,e,-178,3,-3,10,8348103407833683832
greedy,e,-168,2,0,14,7113025977088329855
greedy,e,-172,3,-6,12,5143283695058597396
greedy,e,-76,13,0,47,8197340624014106466
greedy,e,-165,2,-8,15,8528571609666749252
greedy,e,2,17,2,75,4104882749697926824
greedy,e,-34,16,-3,62,6565514289664662950
greedy,e,-184,1,0,8,5033764579389026543
greedy,e,-136,6,-10,25,4536266164651607331
greedy,e,-53,15,-9,55,4360601048084413920
greedy,e,-181,1,-7,9,5781650398130741612
greedy,e,-107,11,-8,36,4121663957186459629
greedy,e,-94,12,-6,41,472567348239436278
greedy,e,-162,5,-7,16,4357492628428052379
greedy,e,-188,1,-4,7,3894273404145756463
greedy,e,-76,13,-5,47,5842347168475585205
greedy,e,-25,17,-3,65,1086329987565970495
greedy,e,-127,8,-1,29,5331584869747841783
greedy,e,-88,13,-7,43,4096577995098175189
greedy,e,-185,2,-1,8,8219624056228544755
greedy,e,-156,3,-1,18,6194931184576833714
greedy,e,-45,15,-4,58,3126692242301642718
greedy,e,-182,1,-4,9,2281453668792893914
greedy,e,-100,11,-6,38,1191301737048226741
greedy,e,-12,17,-2,70,8948552688293866830
greedy,e,-165,3,-6,15,7189923466276005195
greedy,e,-106,9,0,36,8359864196555108880
greedy,e,-160,4,-7,17,1802547961164643119
greedy,e,-85,12,-4,44,5842391536046638855
greedy,e,-91,12,0,42,3381226156519997045
greedy,e,-102,9,-5,38,23748419286376554
greedy,e,-178,1,-1,10,3092029516369311637
greedy,e,-134,6,-2,26,1597169009307083268
greedy,e,-172,3,-2,12,4965939633555544091
greedy,e,-183,1,-3,8,2244645879636673905
greedy,e,-137,8,-6,25,4397214570348286242
greedy,e,-85,13,-2,44,4869019176329189498
greedy,e,-165,3,-7,15,8094872100670664726
greedy,e,-157,5,-1,18,3613903690760778608
greedy,e,-66,13,-5,51,6670205182811843458
greedy,e,-85,13,-8,44,5550698791515588274
greedy,e,-174,3,0,12,2284545318711320205
greedy,e,-133,10,-10,26,4248921941368046986
greedy,e,-90,12,-13,42,5986046565827934141
greedy,e,-157,3,-4,18,581156166725447764
greedy,e,-169,3,0,14,217869128513739545
greedy,e,-36,16,-6,61,2592928623519688235
greedy,e,-179,1,-2,10,1734884679022999463
greedy,e,-23,17,-10,66,3831399098559889090
greedy,e,-176,2,-7,11,6012428213623755836
greedy,e,-165,4,-4,15,5836863994039548742
greedy,e,-150,6,-5,20,7443270926937983842
greedy,e,-83,12,-1,44,5390784714695917296
greedy,e,-61,15,-4,52,5770527013359245473
greedy,e,-74,14,-7,48,5486498457826955589
greedy,e,-71,14,-4,49,6575989971749651000
greedy,e,-102,10,-2,38,2069144894602132307
greedy,e,-22,17,-8,66,9115026526600905690
greedy,e,-129,7,-4,28,3516230983944591772
greedy,e,-135,8,-1,26,1512884828337269425
greedy,e,-160,5,0,17,7394968636875676873
greedy,e,-137,6,-7,25,1683547130123037384
greedy,e,-126,7,-7,29,1926285734162568719
greedy,e,-177,3,-1,11,4472498128100206573
greedy,e,-177,1,-1,11,7292854624220179434
greedy,e,-95,10,-9,40,2773806152594744193
greedy,e,-133,6,-6,26,4467314483688888200
greedy,e,-180,1,-1,10,2674530340227357199
greedy,e,-129,9,-10,28,7111829473436103540
greedy,e,-113,11,-12,34,5003471761580882787
greedy,e,-165,4,-1,15,1348907750799379421
greedy,e,-123,10,-5,30,6552712878918896905
greedy,e,-174,1,-2,12,8982510949865355051
greedy,e,-50,15,-2,56,6051251471487693687
greedy,e,-181,2,-3,9,3396369518424643454
greedy,e,-188,2,0,7,3758195396243314215
greedy,e,-153,4,-2,19,3902249845652507112
greedy,e,-62,13,-5,52,9045494753368000549
greedy,e,-51,14,-3,56,8033915711433910274
greedy,e,-90,13,-4,42,3940435198428573215
greedy,e,-123,8,-4,30,4871630287512182566
greedy,e,-96,11,-2,40,1726031784692886857
greedy,e,-175,2,-2,11,1077482041884046285
greedy,e,-126,6,-3,29,2957313609838665697
greedy,e,-147,8,-4,21,8502005899249411780
greedy,e,-50,13,-1,56,5001726679741292510
greedy,e,-123,8,-1,30,360940849089306421
greedy,e,-156,4,-2,18,6936392513097176007
greedy,e,-125,9,-1,29,1727380510917490079
greedy,e,-138,9,-7,25,5037226080448947469
greedy,e,-20,17,-6,67,928144468322019275
greedy,e,-125,5,0,29,851299487572105477
greedy,e,-188,1,-11,7,996114350386212126
greedy,e,-125,8,-2,29,6297606064161621936
greedy,e,-97,11,-2,39,4049719254809440037
greedy,e,2,17,2,75,124135966686398153
greedy,e,-72,13,-5,48,6034694590882191615
greedy,e,-178,3,-8,10,8659810946732128528
greedy,e,-50,16,-6,56,5167445098548711663
greedy,e,-111,8,-8,34,5328813073121586691
greedy,e,-78,14,0,46,1343749204980043108
greedy,e,-142,7,0,23,8301769055506535401
greedy,e,-179,1,-4,10,6421332717939573777
greedy,e,-40,15,0,60,6342357578547378353
greedy,e,-165,3,-2,15,6616417623817117626
greedy,e,-138,6,-1,25,2946614869013551799
greedy,e,-95,12,0,40,1090158635143250886
greedy,e,7,17,7,77,513342054818885962
greedy,e,-163,5,-11,16,1818626644156841861
greedy,e,-67,14,-2,50,6420294270368288164
greedy,e,-83,13,-6,44,4090562314250909979
greedy,e,-128,8,-7,28,5742869475401037516
greedy,e,-188,1,-4,7,7597864826946025504
greedy,e,-160,5,-3,17,7989913284748843642
greedy,e,-160,4,0,17,8931631582424162473
greedy,e,-37,16,-11,61,2469756360407898395
greedy,e,-108,12,-4,35,1519686903043483166
greedy,e,-99,11,-4,39,2665269785536202465
greedy,e,-92,13,-5,41,7948364213430778223
greedy,e,-85,12,-5,44,5572618808021624589
greedy,e,-75,13,-2,47,216778664973435117
greedy,e,-174,2,-4,12,5147694021082845135
greedy,e,-141,7,-11,24,7300464188627072657
greedy,e,-104,10,-7,37,6364349085626441988
greedy,e,-158,5,-1,17,7826658115280674300
greedy,e,-15,17,-1,69,5432426421455160374
greedy,e,-168,1,-3,14,1822796458150482271
greedy,e,-130,10,-4,28,7223707424468617635
greedy,e,-182,2,-5,9,7677996227308231824
greedy,e,-178,1,-4,10,6357083526997399293
greedy,e,-141,6,-1,24,8346624624912237612
greedy,e,-95,12,-10,40,4617598644017421494
greedy,e,-117,11,-3,32,9051139464572119699
greedy,e,-67,15,-4,50,5336006932351824096
greedy,e,-178,3,-2,10,1506386838569878566
greedy,e,-186,2,-2,7,9060110653733613128
greedy,e,-33,15,-4,62,3542838833028206960
greedy,e,-120,11,-10,31,402956077316850097
greedy,e,-140,7,-2,24,1985538787653176665
greedy,e,-75,13,-6,47,860688962424406300
greedy,e,-154,7,0,19,1765153196273257157
greedy,e,-120,7,-2,31,1902203788656140396
greedy,e,-69,13,-12,50,5226220509202555758
greedy,e,-166,4,-2,15,1603558750236155510
greedy,e,-136,5,-4,25,8245812149059883435
greedy,e,-102,10,-7,38,7905461993749470047
greedy,e,-129,9,-7,28,7726297325204165995
greedy,e,-59,11,-8,53,1059547577153759110
greedy,e,-105,7,0,37,2559472334411442978
greedy,e,-68,14,-12,50,6742517176759885619
greedy,e,-177,2,0,11,4891911218111974694
greedy,e,-118,11,-4,32,6841811363830525894
greedy,e,-124,10,-6,30,6311387058659625786
greedy,e,-173,3,-1,12,6393224746335762188
greedy,e,-72,11,-2,48,6440936932554391489
greedy,e,-174,2,-6,12,5979704747445285143
greedy,e,-81,14,-7,45,4631726919769402985
greedy,e,-162,4,-1,16,143531340758060423
greedy,e,-176,3,0,11,8900050695058361719
greedy,e,-86,11,-8,43,4438959760433615470
greedy,e,-74,12,-5,48,7099002364880525801
greedy,e,-141,8,0,24,3946560736240910792
greedy,e,-142,8,-2,23,6891431905093428292
greedy,e,-175,2,-1,11,3213184372828469953
greedy,e,-91,10,-8,42,1189817746427750311
greedy,e,-165,4,-5,15,775991278426455727
greedy,e,-34,16,-4,62,560208329418316060
greedy,e,-152,6,-6,20,805828151486904362
greedy,e,-93,10,-2,41,3424907620853246539
greedy,e,-81,13,-8,45,5865609310894104707
greedy,e,-123,7,-2,30,5558166097033300161
greedy,e,-53,14,-10,55,6600935181804302721
greedy,e,-176,3,0,11,6004855819661743155
greedy,e,-109,10,-7,35,214617879686014826
